'ircmaxell', 'PHP', 'JavaScript', 'Shell'
'brosner', 'Python', 'JavaScript', 'Shell'
'akrabat', 'PHP', 'JavaScript', 'Shell'
'shanselman', 'C#', 'JavaScript', 'ASP'
'fitzgen', 'JavaScript', 'Python', 'Shell'
'bkeepers', 'Ruby', 'JavaScript', 'CoffeeScript'
'unconed', 'JavaScript', 'Shell', 'Python'
'evanmiller', 'Erlang', 'Shell', 'C'
'mubix', 'Ruby', 'Python', 'Shell'
'robbiehanson', 'Objective-C', 'C', 'Shell'
'iros', 'JavaScript', 'Ruby', 'Shell'
'daylerees', 'PHP', 'JavaScript', 'Shell'
'idiot', 'JavaScript', 'PHP', 'Shell'
'cloudhead', 'JavaScript', 'Ruby', 'C'
'nsf', 'Go', 'C', 'Python'
'ofTheo', 'C++', 'C', 'Objective-C'
